"word","ndoc","nentry"
"www.openstreetmap.org",181,197
"blog.openstreetmap.de",47,61
"lists.openstreetmap.org",53,59
"wiki.openstreetmap.org",49,52
"josm.openstreetmap.de",20,27
"k1z.blog.uni-heidelberg.de",23,25
"heigit.org",18,21
"forum.openstreetmap.org",20,20
"en.wikipedia.org",14,16
"giscienceblog.uni-hd.de",15,16
"community.openstreetmap.org",12,12
"www.trufi-association.org",9,10
"openrouteservice.org",10,10
"blog.osm-baustelle.de",7,9
"nominatim.org",8,8
"f-droid.org",7,7
"www.qgis.org",5,6
"www.sqlite.org",3,6
"forum.openstreetmap.org/viewtopic.php?id",6,6
"forum.openstreetmap.org/viewtopic.php?pid",5,5
"www.damn-project.org",5,5
"plugins.qgis.org",4,5
"prototypefund.de",2,5
"wordpress.org",4,5
"docs.ohsome.org",4,4
"osmcha.org",3,4
"fosstodon.org",4,4
"oqt.ohsome.org",4,4
"www.hotosm.org",4,4
"maplibre.org",4,4
"developmentseed.org",3,3
"geoserver.org",2,3
"hdyc.neis-one.org",3,3
"forum.openhistoricalmap.org",3,3
"ideditor.org",1,3
"www.sqlite.org/)",3,3
"josm.openstreetmap.de/)",3,3
"nienhueser.de",3,3
"nienhueser.de/blog/?p",3,3
"nominatim.openstreetmap.org",2,3
"ohsome.org",3,3
"tasks.hotosm.org",3,3
"maps.openrouteservice.org",2,3
"dev.overpass-api.de",3,3
"techbase.kde.org",1,3
"wiki.openstreetmap.org/wiki/atlas_(navigation_application))",3,3
"resultmaps.neis-one.org",3,3
"blog.openstreetmap.de/wp-uploads//2016/12/de.svg)",3,3
"blog.openstreetmap.de/wp-uploads/2016/12/es.svg)",3,3
"www.openstreetmap.org/user/k_sakanoshita)",3,3
"docs.ohsome.org/ohsome-api/v1/),",2,2
"evidence.dev",1,2
"disaster.openrouteservice.org",2,2
"www.safer-roads.org",1,2
"f-droid.org/en/packages/eu.hydrologis.smash/)",2,2
"grass.osgeo.org",1,2
"gdal.org",2,2
"hosted.weblate.org",2,2
"extract.bbbike.org/)",2,2
"extract.bbbike.org",2,2
"kurviger.de",2,2
"josm.openstreetmap.de/wiki/changelog)",2,2
"map.project-osrm.org",1,2
"mapcomplete.org",1,2
"help.openstreetmap.org",2,2
"media.ccc.de",1,2
"maproulette.org/)",2,2
"openlayers.org/)",2,2
"openstreetmap.org",2,2
"openplacereviews.org",2,2
"maproulette.org",2,2
"oqt.ohsome.org/)",2,2
"osm2world.org",2,2
"osm2pgsql.org",1,2
"packages.debian.org",1,2
"project-osrm.org",2,2
"project-osrm.org/)",2,2
"plugins.qgis.org/plugins/osmtools/)",2,2
"operations.osmfoundation.org",1,2
"maposmatic.osm-baustelle.de",2,2
"simon04.dev.openstreetmap.org/whodidit/)",2,2
"planet.openstreetmap.org",2,2
"streetcompleteness.haukauntrie.de",2,2
"osm2vectortiles.org",1,2
"osm.wno-edv-service.de",1,2
"osm-baustelle.de",2,2
"simon04.dev.openstreetmap.org",2,2
"streetcompleteness.haukauntrie.de/)",2,2
"routing.openstreetmap.de",1,2
"openlayers.org",2,2
"waterwaymap.org",1,2
"vroom-project.org",2,2
"wiki.openstreetmap.org/wiki/osmose)",2,2
"maps.openrouteservice.org/).",2,2
"www.postgresql.org",1,2
"www.gefahrenstellen.de",2,2
"www.baulinks.de",2,2
"www.mediawiki.org",2,2
"www.opensnowmap.org",1,2
"wowirleben.de",1,2
